Table Names,month,staff,type,card_type,amount,tip,total
Transactions January 2023.csv,january,Take Out,Credit Card,Visa,50,0,50
Transactions January 2023.csv,january,Take Out,Credit Card,Visa,150,0,150
Transactions January 2023.csv,january,AM Bar,Credit Card,Visa,100,0,100
Transactions January 2023.csv,january,AM Bar,Cash,,25.6,0,25.6
Transactions January 2023.csv,january,Take Out,Credit Card,Visa,150,0,150
Transactions January 2023.csv,january,AM Bar,Credit Card,Visa,79.37,16,95.37
Transactions January 2023.csv,january,KJ V,Credit Card,Visa,34.98,5,39.98
Transactions January 2023.csv,january,Take Out,Credit Card,Mastercard,37.1,5,42.1
Transactions January 2023.csv,january,KJ V,Cash,,77.66,0,77.66
Transactions January 2023.csv,january,AM Bar,Credit Card,Visa,55.76,0,55.76
Transactions January 2023.csv,january,Sarah M,Credit Card,Visa,46.75,10,56.75
Transactions January 2023.csv,january,AM Bar,Cash,,24,0,24
Transactions January 2023.csv,january,Sarah M,Credit Card,Amex,58.3,0,58.3
Transactions January 2023.csv,january,Sarah M,Credit Card,Visa,51.73,15,66.73
Transactions January 2023.csv,january,Sarah M,Credit Card,Visa,39.42,9,48.42
Transactions January 2023.csv,january,Take Out,Cash,,50,0,50
Transactions January 2023.csv,january,AM Bar,Cash,,16,0,16
Transactions January 2023.csv,january,KJ V,Cash,,75.16,0,75.16
Transactions January 2023.csv,january,AM Bar,Credit Card,Visa,42.46,0,42.46
Transactions January 2023.csv,january,AM Bar,Credit Card,Visa,42.94,8,50.94
Transactions January 2023.csv,january,KJ V,Credit Card,Visa,44.31,9,53.31
Transactions January 2023.csv,january,Sarah M,Credit Card,Visa,40.07,10,50.07
Transactions January 2023.csv,january,AM Bar,Credit Card,Visa,44.9,10,54.9
Transactions January 2023.csv,january,Sarah M,Credit Card,Visa,37.1,5,42.1
Transactions January 2023.csv,january,KJ V,Credit Card,Visa,64.66,12,76.66
Transactions January 2023.csv,january,AM Bar,Credit Card,Visa,30,0,30
